local,visita,goles_local,goles_visita,torneo_id,temporada
Thailand,Cambodia,3,1,1,2023
Philippines,Indonesia,1,2,1,2023
Vietnam,Myanmar,3,0,1,2023
Malaysia,Singapore,4,1,1,2023
Iraq,Oman,0,0,1,2023
Yemen,Saudi Arabia,0,2,1,2023
Indonesia,Vietnam,0,0,1,2023
Bahrain,United Arab Emirates,2,1,1,2023
Kuwait,Qatar,0,2,1,2023
Malaysia,Thailand,1,0,1,2023
Iceland,Estonia,1,1,0,2023
Sweden,Finland,2,0,0,2023
Oman,Yemen,3,2,1,2023
Iraq,Saudi Arabia,2,0,1,2023
Vietnam,Indonesia,2,0,1,2023
United Arab Emirates,Kuwait,0,1,1,2023
Qatar,Bahrain,1,2,1,2023
Thailand,Malaysia,3,0,1,2023
Finland,Estonia,0,1,0,2023
Sweden,Iceland,2,1,0,2023
Iraq,Yemen,5,0,1,2023
Saudi Arabia,Oman,1,2,1,2023
Bahrain,Kuwait,1,1,1,2023
Qatar,United Arab Emirates,1,1,1,2023
Vietnam,Thailand,2,2,1,2023
Iraq,Qatar,2,1,1,2023
Bahrain,Oman,0,1,1,2023
Thailand,Vietnam,1,0,1,2023
Iraq,Oman,3,2,1,2023
United States,Serbia,1,2,0,2023
United States,Colombia,0,0,0,2023
Grenada,Barbados,1,1,0,2023
Grenada,Barbados,2,2,0,2023
Grenada,Saint Lucia,1,2,0,2023
Saint Barthélemy,Sint Maarten,5,1,0,2023
Grenada,Saint Lucia,2,0,0,2023
Saint Martin,Saint Barthélemy,3,2,0,2023
Jamaica,Trinidad and Tobago,0,1,0,2023
Guatemala,Panama,1,1,0,2023
Jamaica,Trinidad and Tobago,0,0,0,2023
Bangladesh,Malawi,1,1,0,2023
Ethiopia,Rwanda,1,0,0,2023
Fiji,Vanuatu,1,2,0,2023
Maldives,Pakistan,1,0,0,2023
Tahiti,New Caledonia,0,2,0,2023
Honduras,El Salvador,1,0,0,2023
India,Myanmar,1,0,1,2023
Nepal,Laos,2,0,1,2023
Republic of Ireland,Latvia,3,2,0,2023
Sierra Leone,São Tomé and Príncipe,2,2,1,2023
Benin,Rwanda,1,1,1,2023
Argentina,Panama,2,0,0,2023
Hong Kong,Singapore,1,1,0,2023
Hungary,Estonia,1,0,0,2023
Iran,Russia,1,1,0,2023
Malaysia,Turkmenistan,1,0,0,2023
New Zealand,China,0,0,0,2023
Solomon Islands,Vanuatu,2,0,0,2023
Madagascar,Central African Republic,0,3,1,2023
Ghana,Angola,1,0,1,2023
Algeria,Niger,2,1,1,2023
Congo,South Sudan,1,2,1,2023
Zambia,Lesotho,3,1,1,2023
Gabon,Sudan,1,0,1,2023
Italy,England,1,2,1,2023
North Macedonia,Malta,2,1,1,2023
Denmark,Finland,3,1,1,2023
San Marino,Northern Ireland,0,2,1,2023
Kazakhstan,Slovenia,1,2,1,2023
Portugal,Liechtenstein,4,0,1,2023
Bosnia and Herzegovina,Iceland,3,0,1,2023
Slovakia,Luxembourg,0,0,1,2023
Suriname,Mexico,0,2,1,2023
Barbados,Cuba,0,1,1,2023
Guadeloupe,Antigua and Barbuda,0,1,1,2023
French Guiana,Dominican Republic,1,1,1,2023
Saint Martin,Saint Kitts and Nevis,1,3,1,2023
British Virgin Islands,Puerto Rico,1,3,1,2023
Australia,Ecuador,3,1,0,2023
Japan,Uruguay,1,1,0,2023
South Korea,Colombia,2,2,0,2023
Kuwait,Philippines,2,0,0,2023
Saudi Arabia,Venezuela,1,2,0,2023
Tahiti,New Caledonia,2,1,0,2023
Uzbekistan,Bolivia,1,0,0,2023
Nigeria,Guinea-Bissau,0,1,1,2023
Cape Verde,Eswatini,0,0,1,2023
Burkina Faso,Togo,1,0,1,2023
Cameroon,Namibia,1,1,1,2023
Guinea,Ethiopia,2,0,1,2023
Egypt,Malawi,2,0,1,2023
Uganda,Tanzania,0,1,1,2023
Mali,Gambia,2,0,1,2023
Ivory Coast,Comoros,3,1,1,2023
DR Congo,Mauritania,3,1,1,2023
Equatorial Guinea,Botswana,2,0,1,2023
Tunisia,Libya,3,0,1,2023
South Africa,Liberia,2,2,1,2023
Senegal,Mozambique,5,1,1,2023
Gibraltar,Greece,0,3,1,2023
France,Netherlands,4,0,1,2023
Czech Republic,Poland,3,1,1,2023
Moldova,Faroe Islands,1,1,1,2023
Austria,Azerbaijan,4,1,1,2023
Sweden,Belgium,0,3,1,2023
Bulgaria,Montenegro,0,1,1,2023
Serbia,Lithuania,2,0,1,2023
Grenada,United States,1,7,1,2023
Bahamas,Trinidad and Tobago,0,3,1,2023
Nicaragua,Saint Vincent and the Grenadines,4,1,1,2023
Belize,Guatemala,1,2,1,2023
Anguilla,Saint Lucia,1,2,1,2023
Bahrain,Palestine,1,2,0,2023
Bangladesh,Seychelles,1,0,0,2023
Bhutan,Laos,1,2,1,2023
Georgia,Mongolia,6,1,0,2023
Germany,Peru,2,0,0,2023
Indonesia,Burundi,3,1,0,2023
Morocco,Brazil,2,1,0,2023
Myanmar,Kyrgyzstan,1,1,1,2023
Thailand,Syria,1,3,0,2023
United Arab Emirates,Tajikistan,0,0,0,2023
Scotland,Cyprus,3,0,1,2023
Spain,Norway,3,0,1,2023
Croatia,Wales,1,1,1,2023
Armenia,Turkey,1,2,1,2023
Belarus,Switzerland,0,5,1,2023
Israel,Kosovo,1,1,1,2023
Andorra,Romania,0,2,1,2023
Martinique,Costa Rica,1,2,1,2023
Curaçao,Canada,0,2,1,2023
Bermuda,Guyana,0,2,1,2023
Montserrat,Haiti,0,4,1,2023
Sint Maarten,Bonaire,6,1,1,2023
Turks and Caicos Islands,United States Virgin Islands,1,0,1,2023
Fiji,Solomon Islands,0,2,0,2023
Macau,Singapore,0,1,0,2023
New Zealand,China,2,1,0,2023
Russia,Iraq,2,0,0,2023
São Tomé and Príncipe,Sierra Leone,0,2,1,2023
Lesotho,Zambia,0,2,1,2023
England,Ukraine,2,0,1,2023
Malta,Italy,0,2,1,2023
Slovenia,San Marino,2,0,1,2023
Kazakhstan,Denmark,3,2,1,2023
Northern Ireland,Finland,0,1,1,2023
Liechtenstein,Iceland,0,7,1,2023
Luxembourg,Portugal,0,6,1,2023
Slovakia,Bosnia and Herzegovina,2,0,1,2023
Mexico,Jamaica,2,2,1,2023
Antigua and Barbuda,Barbados,1,2,1,2023
Cuba,Guadeloupe,1,0,1,2023
Puerto Rico,Cayman Islands,5,1,1,2023
Chile,Paraguay,3,2,0,2023
Greece,Lithuania,0,0,0,2023
North Macedonia,Faroe Islands,1,0,0,2023
Oman,Lebanon,2,0,0,2023
Guinea-Bissau,Nigeria,0,1,1,2023
Ethiopia,Guinea,2,3,1,2023
Central African Republic,Madagascar,2,0,1,2023
Angola,Ghana,1,1,1,2023
Niger,Algeria,0,1,1,2023
South Sudan,Congo,0,1,1,2023
Sudan,Gabon,1,0,1,2023
Republic of Ireland,France,0,1,1,2023
Netherlands,Gibraltar,3,0,1,2023
Poland,Albania,1,0,1,2023
Moldova,Czech Republic,0,0,1,2023
Austria,Estonia,2,1,1,2023
Sweden,Azerbaijan,5,0,1,2023
Hungary,Bulgaria,3,0,1,2023
Montenegro,Serbia,0,2,1,2023
United States,El Salvador,1,0,1,2023
Saint Vincent and the Grenadines,Bahamas,1,1,1,2023
Trinidad and Tobago,Nicaragua,1,1,1,2023
Dominican Republic,Belize,2,0,1,2023
Guatemala,French Guiana,4,0,1,2023
Saint Kitts and Nevis,Aruba,2,0,1,2023
Saint Lucia,Dominica,3,1,1,2023
Argentina,Curaçao,7,0,0,2023
Armenia,Cyprus,2,2,0,2023
Australia,Ecuador,1,2,0,2023
Bahrain,Syria,1,0,0,2023
Bangladesh,Seychelles,0,1,0,2023
Germany,Belgium,2,3,0,2023
India,Kyrgyzstan,2,0,1,2023
Indonesia,Burundi,2,2,0,2023
Iran,Kenya,2,1,0,2023
