torneo_id,temporada,fecha,local,visita,goles_local,goles_visita
1,2026,2026-06-11,Mexico,South Africa,2,0
1,2026,2026-06-11,South Korea,Czechia,2,1
1,2026,2026-06-12,Canada,Bosnia and Herzegovina,1,1
1,2026,2026-06-12,USA,Paraguay,4,1
1,2026,2026-06-13,Qatar,Switzerland,1,1
1,2026,2026-06-13,Brazil,Morocco,1,1
1,2026,2026-06-13,Haiti,Scotland,0,1
1,2026,2026-06-13,Australia,Türkiye,2,0
1,2026,2026-06-14,Germany,Curaçao,7,1
1,2026,2026-06-14,Netherlands,Japan,2,2
1,2026,2026-06-14,Ivory Coast,Ecuador,1,0
1,2026,2026-06-14,Sweden,Tunisia,5,1
1,2026,2026-06-15,Spain,Cabo Verde,0,0
1,2026,2026-06-15,Belgium,Egypt,1,1
1,2026,2026-06-15,Saudi Arabia,Uruguay,1,1
1,2026,2026-06-15,Iran,New Zealand,2,2
1,2026,2026-06-16,France,Senegal,3,1
1,2026,2026-06-16,Iraq,Norway,1,4
1,2026,2026-06-16,Argentina,Algeria,3,0
1,2026,2026-06-16,Austria,Jordan,3,1
1,2026,2026-06-17,Portugal,DR Congo,1,1
1,2026,2026-06-17,England,Croatia,4,2
1,2026,2026-06-17,Ghana,Panama,1,0
1,2026,2026-06-17,Uzbekistan,Colombia,1,3
1,2026,2026-06-18,Czechia,South Africa,1,1
1,2026,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1
1,2026,2026-06-18,Canada,Qatar,6,0
1,2026,2026-06-18,Mexico,South Korea,1,0
1,2026,2026-06-19,USA,Australia,2,0

