equipo,elo_actual
Argentina,1888.920197479399
France,1859.9994150814512
Spain,1853.1618821079287
England,1800.2991511909283
Morocco,1753.0118664583836
Brazil,1748.3575440156897
Portugal,1738.5550689956663
Colombia,1732.8792072308236
Germany,1710.7099139401532
Mexico,1704.0320471698635
Belgium,1689.8264520469945
Italy,1688.985674609322
Croatia,1680.0132466551458
Japan,1654.1477661328668
Switzerland,1640.7862418805375
USA,1631.6889505013498
Uruguay,1617.9605097392853
Austria,1617.1717832817415
Denmark,1615.446010119152
Norway,1592.962871697084
Ecuador,1592.3471444277789
Iran,1579.8036171708013
Ivory Coast,1562.4177979928106
Algeria,1552.7290067824783
Canada,1551.9248579195753
Egypt,1550.523045388825
Türkiye,1547.363931524948
Nigeria,1542.3756698447594
Ukraine,1541.6787591059892
South Korea,1539.0357710789722
Paraguay,1530.5693965881887
Serbia,1503.5420185885787
Poland,1499.3082273462614
Sweden,1497.4554784926438
Scotland,1494.5423618324767
Hungary,1490.266737513022
Venezuela,1487.6552144394757
Wales,1487.3326640549576
Greece,1471.18983292533
Chile,1469.3001297081148
Slovakia,1468.5800111279334
Slovenia,1464.0408066200957
Panama,1453.1309922225382
Czechia,1452.1784609383392
Uzbekistan,1445.1908071467624
Peru,1436.080921878979
Cameroon,1422.5390454261697
Mali,1421.6088406273461
Costa Rica,1421.3244057141371
Cabo Verde,1399.1211156234122
Saudi Arabia,1396.3396307556125
Ghana,1390.9150154352055
Tunisia,1385.5387163593289
Albania,1377.6573489686741
Georgia,1377.2922852505728
Bosnia and Herzegovina,1375.1897893333369
Iraq,1374.235709714029
Honduras,1367.8220611781367
Northern Ireland,1361.9675048160298
Burkina Faso,1359.4136618305436
Jordan,1359.4083251899956
Kosovo,1351.4588747464134
Jamaica,1347.8076644627956
Israel,1346.516288774929
Bolivia,1343.7999391065107
Netherlands,1338.2033345168315
Iceland,1336.137989206522
Qatar,1335.9117138422203
Finland,1302.2847424774777
Senegal,1299.0409805982813
New Zealand,1294.0004525480867
Montenegro,1293.0961738743017
Australia,1282.5343138929454
Guinea,1275.0810968352691
Haiti,1272.7382165409247
Syria,1262.2600164407424
South Africa,1259.7994625630529
Gabon,1257.6079723786986
Zambia,1251.97987953877
Belarus,1249.642315805878
Uganda,1247.9170747643623
Thailand,1246.7782057722475
Bulgaria,1246.1317449533149
DR Congo,1237.7210334968545
Luxembourg,1230.6428177321818
Benin,1229.1429763997269
Bahrain,1222.7338991501501
Trinidad and Tobago,1219.6285389531483
Vietnam,1218.4183897721593
Russia,1216.0803667105315
Mozambique,1211.2690491420747
Palestine,1210.7583572087376
Libya,1208.194348652825
Madagascar,1202.6864161136484
Tajikistan,1199.393092730924
Comoros,1199.2871613288307
Romania,1197.0455283933875
El Salvador,1193.0848208097752
United Arab Emirates,1192.4956137588842
Kazakhstan,1191.2926990636402
Equatorial Guinea,1190.0807024647913
Oman,1181.5883694786264
Ireland,1181.3662152017891
Angola,1179.9274153707547
